"Год","Место проведения","Дисциплина","Чемпион"
"1992","Москва","русская пирамида","Рифат Садриев"
"1992","Москва","московская пирамида","Юрий Пантелеев"
"1992","Москва","американка","Гурам Мамуладзе"
"1993","Москва","американка","Гурам Мамуладзе"
"1993","Москва","русская пирамида","Юрий Пантелеев"
"1993","Краснодар","московская пирамида","Вячеслав Кузнецов"
"1994","Москва","русская пирамида","Эдуард Галиянц"
"1994","Москва","американка","Валентин Вонсовский"
"1994","Москва","московская пирамида","Дмитрий Хан"
"1995","Краснодар","американка","Эдуард Галиянц"
"1995","Волгоград","московская пирамида","Гиви Анфимиади"
"1995","Москва","русская пирамида","Евгений Сталев"
"1996","Будапешт","американка","Юрий Пантелеев"
"1996","Вильнюс","московская пирамида","Александр Восканян"
"1996","Москва","русская пирамида","Юрий Пантелеев"
"1997","Будапешт","американка","Евгений Сталев"
"1997","Киев","московская пирамида","Евгений Сталев"
"1997","Москва","русская пирамида","Гурам Мамуладзе"
"1998","Москва","американка","Евгений Сталев"
"1998","Москва","московская пирамида","Евгений Сталев"
"1998","Москва","олимпийская пирамида","Евгений Сталев"
"1999","Санкт-Петербург","американка","Борис Григорьев"
"1999","Санкт-Петербург","московская пирамида","Эдуард Галиянц"
"1999","Санкт-Петербург","олимпийская пирамида","Евгений Сталев"
"2000","Днепропетровск","пирамида - двойной разбой","Аслан Бузоев"
"2000","Москва","московская пирамида","Эдуард Галиянц"
"2000","Москва","олимпийская пирамида","Евгений Созыкин"
"2000","Киркель","пирамида - двойной разбой","Евгений Сталев"
"2001","Вильнюс","европейская пирамида","Каныбек Сагындыков"
"2002","Виллинген","пирамида - двойной разбой","Илья Киричков"
"2003","Санкт-Петербург","пирамида","Ярослав Винокур"
"2004","Москва","пирамида","Каныбек Сагындыков"
"2005","Алма-Ата","свободная пирамида","Юрий Пащинский"
"2006","Вантаа","свободная пирамида","Павел Меховов"
"2007","Санкт-Петербург","динамичная пирамида","Каныбек Сагынбаев"
"2007","Киев","свободная пирамида","Каныбек Сагындыков"
"2008","Алма-Ата","комбинированная пирамида","Алихан Каранеев"
"2008","Санкт-Петербург","свободная пирамида","Арман Балкачан"
"2009","Новосибирск","свободная пирамида","Павел Меховов"
"2010","Алма-Ата","комбинированная пирамида","Ернар Чимбаев"
"2010","Виллинген","свободная пирамида","Каныбек Сагынбаев"
"2011","Алма-Ата","комбинированная пирамида","Никита Ливада"
"2011","Киев","свободная пирамида","Ярослав Винокур"
"2012","Минск","свободная пирамида","Владислав Осьминин"
"2012","Ханты-Мансийск","динамичная пирамида","Ярослав Тарновецкий"
"2012","Бишкек","комбинированная пирамида","Александр Чепиков"
"2013","Кемерово","комбинированная пирамида","Ярослав Тарновецкий"
"2013","Алма-Ата","динамичная пирамида","Сергей Тузов"
"2013","Якутск","свободная пирамида","Никита Ливада"
"2014","Чолпон-Ата","комбинированная пирамида","Евгений Новосад"
"2014","Тараз","динамичная пирамида","Каныбек Сагынбаев"
"2014","Ханты-Мансийск","свободная пирамида","Сергей Крыжановский"
"2015","Алма-Ата","комбинированная пирамида","Алибек Омаров"
"2015","Томск","свободная пирамида","Владислав Осьминин"
"2015","Иматра","динамичная пирамида","Дастан Лепшаков"
"2016","Алма-Ата","комбинированная пирамида","Александр Сидоров"
"2016","Бишкек","динамичная пирамида","Леонид Швыряев"
"2016","Казань","свободная пирамида","Алихан Каранеев"
"2017","Югорск","комбинированная пирамида","Иосиф Абрамов"
"2018","Алма-Ата","динамичная пирамида","Дмитрий Белозёров"
"2018","Тюмень","свободная пирамида","Сергей Крыжановский"
"2019","Ханты-Мансийск","комбинированная пирамида","Иосиф Абрамов"
"2019","Чолпон-Ата","свободная пирамида","Семён Зайцев"
"2021","Ханты-Мансийск","свободная пирамида","Ернар Чимбаев"
"2022","Сургут","свободная пирамида","Никита Володин"
"2022","Чолпон-Ата","динамичная пирамида","Никита Ливада"
"2022","Югорск","свободная пирамида с продолжением","Дастан Лепшаков"
"2023","Сургут","свободная пирамида","Денис Колосов"
"2024","Бишкек","комбинированная пирамида","Никита Володин"
"2024","Сургут","свободная пирамида","Иосиф Абрамов"
